Type,Cell line name,Average,SD
CCOC,OCI-C5X,1.035195723,0.310202635
CCOC,OVISE,0.91667542,0.060053068
CCOC,HAC2,0.491074264,0.06272209
CCOC,OVSAYO,0.113987151,0.002776905
CCOC,HCH1,1.03252853,0.148940622
CCOC,OVMANA,1.519650879,0.083152352
CCOC,JHOC9,0.455241008,0.070142002
CCOC,OVTOKO,0.341244629,0.029867211
CCOC,JHOC5,0.94468615,0.112996504
CCOC,SMOV2,1.254190443,0.048105443
CCOC,OVAS,1.963085027,0.087335668
CCOC,KOC-7c,0.227213361,0.007719988
CCOC,ES2,0.125821403,0.01015388
CCOC,TOV21G,0.388263883,0.004437696
CCOC,OV207,0.8247356,0.00141848
CCOC,RMG-II,1.445500694,0.331106811
HGSOC,KURAMOCHI,0.051320349,0.004202327
HGSOC,UWB1.289,0.038182973,0.001707641
HGSOC,OVSAHO,0.094322691,0.04990249
HGSOC,CAOV3,0.023207563,0.002698516
HGSOC,SHIN3,0.066305012,0.013539763
HGSOC,OVCA429,0.088931913,0.016983225
FTSEC,FT246,0.08373942,0.013390143
FTSEC,FT237,0.068642617,0.009992845
FTSEC,FT282,0.401351608,0.272858693